product.code,importId,qty,unit.id,productName,saleSupplySelect,deliveredQty,price,companyExTaxTotal,inTaxPrice,exTaxTotal
100-TBCAP,WC-26092/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
310-ZS-CLASSIC-RH-4CT,WC-26089/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
100-TBCAP,WC-26089/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
100-ZS-PULSE-MBR,WC-26085/100-ZS-PULSE-MBR,1,1,100-ZS-PULSE-MBR,1,1,59.95,59.95,59.95,59.95
310-ZS-PREMIUM-RH-4CT,WC-26085/310-ZS-PREMIUM-RH-4CT,1,1,310-ZS-PREMIUM-RH-4CT,1,1,51.8,51.8,51.8,51.8
100-TBCAP,WC-26085/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
600-300-ZS-PULSE-DDMA,WC-26079/600-300-ZS-PULSE-DDMA,2,1,600-300-ZS-PULSE-DDMA,1,2,59.95,119.9,59.95,119.9
310-ZS-CLASSIC-RH-4CT,WC-26079/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,26.26,26.26,26.26,26.26
100-TBCAP,WC-26079/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
310-ZS-CLASSIC-RH-4CT,WC-26078/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
100-TBCAP,WC-26078/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
100-ZS-MINI-MBR,WC-26077/100-ZS-MINI-MBR,2,1,100-ZS-MINI-MBR,1,2,15.95,31.9,15.95,31.9
500-900-MASK-FREE,WC-26077/500-900-MASK-FREE,1,1,500-900-MASK-FREE,1,1,0,0,0,0
500-AETNA-BABY-HLTH-MBR,WC-26075/500-AETNA-BABY-HLTH-MBR,1,1,500-AETNA-BABY-HLTH-MBR,1,1,8.1,8.1,8.1,8.1
500-AETNA-KIDS-MBR,WC-26075/500-AETNA-KIDS-MBR,1,1,500-AETNA-KIDS-MBR,1,1,8.74,8.74,8.74,8.74
500-900-MASK-FREE,WC-26075/500-900-MASK-FREE,1,1,500-900-MASK-FREE,1,1,0,0,0,0
