"importId","name","code","country.alpha3Code","department.code"
11001,"Normandy","Normandy_Coffee County_TN","USA","Coffee County_TN"
11002,"Ocoee","Ocoee_Polk County_TN","USA","Polk County_TN"
11003,"Old Fort","Old Fort_Polk County_TN","USA","Polk County_TN"
11004,"Ooltewah","Ooltewah_Hamilton County_TN","USA","Hamilton County_TN"
11005,"Palmer","Palmer_Grundy County_TN","USA","Grundy County_TN"
11006,"Pelham","Pelham_Grundy County_TN","USA","Grundy County_TN"
11007,"Pikeville","Pikeville_Bledsoe County_TN","USA","Bledsoe County_TN"
11008,"Reliance","Reliance_Polk County_TN","USA","Polk County_TN"
11009,"Riceville","Riceville_McMinn County_TN","USA","McMinn County_TN"
11010,"Sale Creek","Sale Creek_Hamilton County_TN","USA","Hamilton County_TN"
11011,"Sequatchie","Sequatchie_Marion County_TN","USA","Marion County_TN"
11012,"Sewanee","Sewanee_Franklin County_TN","USA","Franklin County_TN"
11013,"Sherwood","Sherwood_Franklin County_TN","USA","Franklin County_TN"
11014,"Signal Mountain","Signal Mountain_Hamilton County_TN","USA","Hamilton County_TN"
11015,"Soddy Daisy","Soddy Daisy_Hamilton County_TN","USA","Hamilton County_TN"
11016,"South Pittsburg","South Pittsburg_Marion County_TN","USA","Marion County_TN"
11017,"Spring City","Spring City_Rhea County_TN","USA","Rhea County_TN"
11018,"Tellico Plains","Tellico Plains_Monroe County_TN","USA","Monroe County_TN"
11019,"Tracy City","Tracy City_Grundy County_TN","USA","Grundy County_TN"
11020,"Tullahoma","Tullahoma_Coffee County_TN","USA","Coffee County_TN"
11021,"Arnold Afb","Arnold Afb_Coffee County_TN","USA","Coffee County_TN"
11022,"Turtletown","Turtletown_Polk County_TN","USA","Polk County_TN"
11023,"Whiteside","Whiteside_Marion County_TN","USA","Marion County_TN"
11024,"Whitwell","Whitwell_Marion County_TN","USA","Marion County_TN"
11025,"Winchester","Winchester_Franklin County_TN","USA","Franklin County_TN"
11026,"Chattanooga","Chattanooga_Hamilton County_TN","USA","Hamilton County_TN"
11027,"Chattanooga","Chattanooga_Hamilton County_TN","USA","Hamilton County_TN"
11028,"Chattanooga","Chattanooga_Hamilton County_TN","USA","Hamilton County_TN"
11029,"Chattanooga","Chattanooga_Hamilton County_TN","USA","Hamilton County_TN"
11030,"Chattanooga","Chattanooga_Hamilton County_TN","USA","Hamilton County_TN"
11031,"Chattanooga","Chattanooga_Hamilton County_TN","USA","Hamilton County_TN"
11032,"Chattanooga","Chattanooga_Hamilton County_TN","USA","Hamilton County_TN"
11033,"Chattanooga","Chattanooga_Hamilton County_TN","USA","Hamilton County_TN"
11034,"Chattanooga","Chattanooga_Hamilton County_TN","USA","Hamilton County_TN"
11035,"Chattanooga","Chattanooga_Hamilton County_TN","USA","Hamilton County_TN"
11036,"Chattanooga","Chattanooga_Hamilton County_TN","USA","Hamilton County_TN"
