"importId","technicalTypeSelect","name"
1,"currentAsset","Current Asset"
2,"cash","Cash"
3,"charge","Charge"
4,"debt","Debt"
5,"equity","Equity"
6,"fixAsset","Fixed Assets"
7,"income","Income"
8,"payable","Payable"
9,"receivable","Receivable"
10,"tax","Tax"
11,"costOfSales","Cost of Sales"
12,"nonCurrentAsset","Non-Current Asset"
13,"currentLiabilities","Current Liabilities"
14,"nonCurrentLiabilities","Non-Current Liabilities"
15,"expense","Expense"
