product.code,importId,qty,unit.id,productName,saleSupplySelect,deliveredQty,price,companyExTaxTotal,inTaxPrice,exTaxTotal
830-POUCH-CL,3/830-POUCH-CL,18,1,830-POUCH-CL,1,18,0.35,6.3,0.35,6.3
300-ZS-PRO-DD,17/300-ZS-PRO-DD,3,1,300-ZS-PRO-DD,1,3,59.95,179.85000000000002,59.95,179.85000000000002
100-FINGERB-144,19/100-FINGERB-144,35,1,100-FINGERB-144,1,35,82.08,2872.7999999999997,82.08,2872.7999999999997
600-300-ZS-PULSE-DD,20/600-300-ZS-PULSE-DD,30,1,600-300-ZS-PULSE-DD,1,30,27,810,27,810
310-ZS-CLASSIC-RH-4CT,21/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,30.5,30.5,30.5,30.5
100-USO-1,37/100-USO-1,2,1,100-USO-1,1,2,61.92,123.84,61.92,123.84
100-PROMISE-48 PK,38/100-PROMISE-48 PK,1,1,100-PROMISE-48 PK,1,1,22.66,22.66,22.66,22.66
100-202-Z,45/100-202-Z,6,1,100-202-Z,1,6,51.84,311.04,51.84,311.04
110-15NF-72,45/110-15NF-72,10,1,110-15NF-72,1,10,27.36,273.6,27.36,273.6
100-ISB,46/100-ISB,27648,1,100-ISB,1,27648,0.21,5806.08,0.21,5806.08
100-226-MO,47/100-226-MO,360,1,100-226-MO,1,360,30.24,10886.4,30.24,10886.4
100-PROMISE-48 PK,56/100-PROMISE-48 PK,2,1,100-PROMISE-48 PK,1,2,22.66,45.32,22.66,45.32
100-TOOFER,57/100-TOOFER,1,1,100-TOOFER,1,1,66.24,66.24,66.24,66.24
110-Washcloth,59/110-Washcloth,432,1,110-Washcloth,1,432,0,0,0,0
100-819-I-DE,59/100-819-I-DE,432,1,100-819-I-DE,1,432,0,0,0,0
100-826-Z,60/100-826-Z,6,1,100-826-Z,1,6,80.64,483.84000000000003,80.64,483.84000000000003
100-819-S,61/100-819-S,4,1,100-819-S,1,4,76.32,305.28,76.32,305.28
110-FLOSS-FR,61/110-FLOSS-FR,1,1,110-FLOSS-FR,1,1,0,0,0,0
100-500-Z,62/100-500-Z,10,1,100-500-Z,1,10,53.28,532.8,53.28,532.8
100-130,63/100-130,2,1,100-130,1,2,33.12,66.24,33.12,66.24
310-ZS-PREMIUM-RH-4CT,65/310-ZS-PREMIUM-RH-4CT,1,1,310-ZS-PREMIUM-RH-4CT,1,1,36,36,36,36
600-300-ZS-PULSE-DD,73/600-300-ZS-PULSE-DD,50,1,600-300-ZS-PULSE-DD,1,50,31,1550,31,1550
100-130,82/100-130,2,1,100-130,1,2,33.12,66.24,33.12,66.24
100-USO-1,86/100-USO-1,2,1,100-USO-1,1,2,72.5,145,72.5,145
110-FLOSS-FR,90/110-FLOSS-FR,1,1,110-FLOSS-FR,1,1,0,0,0,0
600-100-448-DD,91/600-100-448-DD,40,1,600-100-448-DD,1,40,36,1440,36,1440
110-FLOSS-NF-72,108/110-FLOSS-NF-72,2,1,110-FLOSS-NF-72,1,2,59.04,118.08,59.04,118.08
600-100-448-DD,110/600-100-448-DD,24,1,600-100-448-DD,1,24,36,864,36,864
300-ZS-PULSE-CHARGER,114/300-ZS-PULSE-CHARGER,1,1,300-ZS-PULSE-CHARGER,1,1,0,0,0,0
110-FLOSS-18M-DD,116/110-FLOSS-18M-DD,252,1,110-FLOSS-18M-DD,1,252,13.2,3326.3999999999996,13.2,3326.3999999999996
100-130,117/100-130,2,1,100-130,1,2,33.12,66.24,33.12,66.24
100-130,118/100-130,3,1,100-130,1,3,48.96,146.88,48.96,146.88
100-ISB,119/100-ISB,15,1,100-ISB,1,15,34.56,518.4000000000001,34.56,518.4000000000001
100-130,122/100-130,1,1,100-130,1,1,33.12,33.12,33.12,33.12
310-ZS-CLASSIC-RH-4CT,123/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,0,0,0,0
840-BOTTLE,124/840-BOTTLE,1,1,840-BOTTLE,1,1,0,0,0,0
310-ZS-CLASSIC-RH-4CT,127/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,0,0,0,0
310-ZS-CLASSIC-RH-4CT,127/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,0,0,0,0
110-SC-WHT,130/110-SC-WHT,1,1,110-SC-WHT,1,1,45.36,45.36,45.36,45.36
100-PROMISE-48 PK,131/100-PROMISE-48 PK,1,1,100-PROMISE-48 PK,1,1,22.66,22.66,22.66,22.66
310-ZS-CLASSIC-RH-4CT,145/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,51.8,51.8,51.8,51.8
600-100-448-DD,147/600-100-448-DD,40,1,600-100-448-DD,1,40,47.52,1900.8000000000002,47.52,1900.8000000000002
600-100-448-DD,149/600-100-448-DD,8,1,600-100-448-DD,1,8,36,288,36,288
300-ZS-PRO-DD,153/300-ZS-PRO-DD,60,1,300-ZS-PRO-DD,1,60,42,2520,42,2520
300-ZS-PRO-DD,154/300-ZS-PRO-DD,30,1,300-ZS-PRO-DD,1,30,42,1260,42,1260
600-300-ZS-PULSE-DD,154/600-300-ZS-PULSE-DD,20,1,600-300-ZS-PULSE-DD,1,20,26,520,26,520
600-300-ZS-PULSE-DD,165/600-300-ZS-PULSE-DD,37,1,600-300-ZS-PULSE-DD,1,37,26,962,26,962
500-AETNA-BABY-HLTH-MBR,167/500-AETNA-BABY-HLTH-MBR,1,1,500-AETNA-BABY-HLTH-MBR,1,1,8.1,8.1,8.1,8.1
500-AETNA-KIDS-MBR,167/500-AETNA-KIDS-MBR,4,1,500-AETNA-KIDS-MBR,1,4,8.74,34.96,8.74,34.96
500-100-FLOSS-18YD-AETNA,167/500-100-FLOSS-18YD-AETNA,2,1,500-100-FLOSS-18YD-AETNA,1,2,0,0,0,0
500-100-819-S-AETNA,167/500-100-819-S-AETNA,2,1,500-100-819-S-AETNA,1,2,0,0,0,0
500-100-POUCH-8X10,167/500-100-POUCH-8X10,2,1,500-100-POUCH-8X10,1,2,0,0,0,0
110-CONFC2,167/110-CONFC2,2,1,110-CONFC2,1,2,0,0,0,0
810-COMB7,167/810-COMB7,2,1,810-COMB7,1,2,0,0,0,0
110-Washcloth,167/110-Washcloth,2,1,110-Washcloth,1,2,0,0,0,0
100-202-Z,185/100-202-Z,1,1,100-202-Z,1,1,59.04,59.04,59.04,59.04
100-202-Z,186/100-202-Z,1,1,100-202-Z,1,1,59.04,59.04,59.04,59.04
870-CREST-TP-ADULT,194/870-CREST-TP-ADULT,331,1,870-CREST-TP-ADULT,1,331,0,0,0,0
600-110-FLOSS-M-DD,194/600-110-FLOSS-M-DD,331,1,600-110-FLOSS-M-DD,1,331,0,0,0,0
600-830-POUCH-DDNJ-9X4,194/600-830-POUCH-DDNJ-9X4,331,1,600-830-POUCH-DDNJ-9X4,1,331,0,0,0,0
600-100-448-DD,194/600-100-448-DD,331,1,600-100-448-DD,1,331,0,0,0,0
100-USO-1,195/100-USO-1,1,1,100-USO-1,1,1,61.92,61.92,61.92,61.92
600-300-ZS-MINI-DD,196/600-300-ZS-MINI-DD,25,1,600-300-ZS-MINI-DD,1,25,10,250,10,250
300-ZS-PRO-DD,196/300-ZS-PRO-DD,10,1,300-ZS-PRO-DD,1,10,39,390,39,390
110-FLOSS-3YD-72,199/110-FLOSS-3YD-72,35,1,110-FLOSS-3YD-72,1,35,20.88,730.8,20.88,730.8
100-130,211/100-130,576,1,100-130,1,576,0.2,115.2,0.2,115.2
100-130,214/100-130,2,1,100-130,1,2,33.12,66.24,33.12,66.24
830-NEO-POUCH-DD,217/830-NEO-POUCH-DD,1050,1,830-NEO-POUCH-DD,1,1050,1.67,1753.5,1.67,1753.5
1300-BEAR-KOALA,219/1300-BEAR-KOALA,300,1,1300-BEAR-KOALA,1,300,0,0,0,0
100-FINGERB-144,220/100-FINGERB-144,2,1,100-FINGERB-144,1,2,77.76,155.52,77.76,155.52
100-130,221/100-130,432,1,100-130,1,432,0.23,99.36,0.23,99.36
310-ZS-PREMIUM-RH-4CT,226/310-ZS-PREMIUM-RH-4CT,1,1,310-ZS-PREMIUM-RH-4CT,1,1,36,36,36,36
500-900-MASK-FREE,226/500-900-MASK-FREE,1,1,500-900-MASK-FREE,1,1,0,0,0,0
Bottle-WB20C,231/Bottle-WB20C,2500,1,Bottle-WB20C,1,2500,0.88,2200,0.88,2200
Bottle-WB20C,232/Bottle-WB20C,400,1,Bottle-WB20C,1,400,0.88,352,0.88,352
600-100-448-DD,234/600-100-448-DD,40,1,600-100-448-DD,1,40,44.64,1785.6,44.64,1785.6
