"importId","code","areaCode","city.code","county.code","state.name","country.alpha3Code"
21340,67301,620,"Independence_Montgomery County_KS","Montgomery County_KS","KS","USA"
21341,67330,620,"Altamont_Labette County_KS","Labette County_KS","KS","USA"
21342,67332,620,"Bartlett_Labette County_KS","Labette County_KS","KS","USA"
21343,67333,620,"Caney_Montgomery County_KS","Montgomery County_KS","KS","USA"
21344,67335,620,"Cherryvale_Montgomery County_KS","Montgomery County_KS","KS","USA"
21345,67336,620,"Chetopa_Labette County_KS","Labette County_KS","KS","USA"
21346,67337,620,"Coffeyville_Montgomery County_KS","Montgomery County_KS","KS","USA"
21347,67341,620,"Dennis_Labette County_KS","Labette County_KS","KS","USA"
21348,67342,620,"Edna_Labette County_KS","Labette County_KS","KS","USA"
21349,67344,620,"Elk City_Montgomery County_KS","Montgomery County_KS","KS","USA"
21350,67345,620,"Elk Falls_Elk County_KS","Elk County_KS","KS","USA"
21351,67346,620,"Grenola_Elk County_KS","Elk County_KS","KS","USA"
21352,67347,620,"Havana_Montgomery County_KS","Montgomery County_KS","KS","USA"
21353,67349,620,"Howard_Elk County_KS","Elk County_KS","KS","USA"
21354,67351,620,"Liberty_Montgomery County_KS","Montgomery County_KS","KS","USA"
21355,67352,620,"Longton_Elk County_KS","Elk County_KS","KS","USA"
21356,67353,620,"Moline_Elk County_KS","Elk County_KS","KS","USA"
21357,67354,620,"Mound Valley_Labette County_KS","Labette County_KS","KS","USA"
21358,67355,620,"Niotaze_Chautauqua County_KS","Chautauqua County_KS","KS","USA"
21359,67356,620,"Oswego_Labette County_KS","Labette County_KS","KS","USA"
21360,67357,620,"Parsons_Labette County_KS","Labette County_KS","KS","USA"
21361,67360,620,"Peru_Chautauqua County_KS","Chautauqua County_KS","KS","USA"
21362,67361,620,"Sedan_Chautauqua County_KS","Chautauqua County_KS","KS","USA"
21363,67401,785,"Salina_Saline County_KS","Saline County_KS","KS","USA"
21364,67410,785,"Abilene_Dickinson County_KS","Dickinson County_KS","KS","USA"
21365,67416,785,"Assaria_Saline County_KS","Saline County_KS","KS","USA"
21366,67417,785,"Aurora_Cloud County_KS","Cloud County_KS","KS","USA"
21367,67418,785,"Barnard_Lincoln County_KS","Lincoln County_KS","KS","USA"
21368,67420,785,"Beloit_Mitchell County_KS","Mitchell County_KS","KS","USA"
21369,67422,785,"Bennington_Ottawa County_KS","Ottawa County_KS","KS","USA"
21370,67423,785,"Beverly_Lincoln County_KS","Lincoln County_KS","KS","USA"
21371,67425,785,"Brookville_Saline County_KS","Saline County_KS","KS","USA"
21372,67427,620,"Bushton_Rice County_KS","Rice County_KS","KS","USA"
21373,67428,"7,85,620","Canton_McPherson County_KS","McPherson County_KS","KS","USA"
21374,67430,785,"Cawker City_Mitchell County_KS","Mitchell County_KS","KS","USA"
21375,67431,785,"Chapman_Dickinson County_KS","Dickinson County_KS","KS","USA"
21376,67432,785,"Clay Center_Clay County_KS","Clay County_KS","KS","USA"
21377,67436,785,"Delphos_Ottawa County_KS","Ottawa County_KS","KS","USA"
21378,67437,785,"Downs_Osborne County_KS","Osborne County_KS","KS","USA"
21379,67438,620,"Durham_Marion County_KS","Marion County_KS","KS","USA"
21380,67439,785,"Ellsworth_Ellsworth County_KS","Ellsworth County_KS","KS","USA"
21381,67441,785,"Enterprise_Dickinson County_KS","Dickinson County_KS","KS","USA"
21382,67442,785,"Falun_Saline County_KS","Saline County_KS","KS","USA"
21383,67443,620,"Galva_McPherson County_KS","McPherson County_KS","KS","USA"
21384,67444,620,"Geneseo_Rice County_KS","Rice County_KS","KS","USA"
21385,67445,785,"Glasco_Cloud County_KS","Cloud County_KS","KS","USA"
21386,67446,785,"Glen Elder_Mitchell County_KS","Mitchell County_KS","KS","USA"
21387,67447,785,"Green_Clay County_KS","Clay County_KS","KS","USA"
21388,67448,785,"Gypsum_Saline County_KS","Saline County_KS","KS","USA"
21389,67449,785,"Herington_Dickinson County_KS","Dickinson County_KS","KS","USA"
21390,67450,785,"Holyrood_Ellsworth County_KS","Ellsworth County_KS","KS","USA"
21391,67451,785,"Hope_Dickinson County_KS","Dickinson County_KS","KS","USA"
21392,67452,785,"Hunter_Mitchell County_KS","Mitchell County_KS","KS","USA"
21393,67454,785,"Kanopolis_Ellsworth County_KS","Ellsworth County_KS","KS","USA"
21394,67455,785,"Lincoln_Lincoln County_KS","Lincoln County_KS","KS","USA"
21395,67456,785,"Lindsborg_McPherson County_KS","McPherson County_KS","KS","USA"
21396,67457,620,"Little River_Rice County_KS","Rice County_KS","KS","USA"
21397,67458,785,"Longford_Clay County_KS","Clay County_KS","KS","USA"
21398,67459,785,"Lorraine_Ellsworth County_KS","Ellsworth County_KS","KS","USA"
